,Features,Importance
89,SP-4,0.04157035751911
100,VP-7,0.035931442993050206
88,SP-3,0.03191564063802661
96,VP-3,0.02669127591160538
495,WTPT-1,0.023668197930893742
32,ATSp3,0.02127521965029709
86,SP-1,0.019754814303355725
408,ETA_Eta_L,0.019521474895475684
44,nBondsS,0.017064330381423343
95,VP-2,0.017029436673856282
92,SP-7,0.015082638050101283
87,SP-2,0.015045544702923413
94,VP-1,0.01362778486530715
395,ETA_Beta_s,0.012508538557446885
102,CrippenMR,0.011355872654181693
98,VP-5,0.010913120189650967
93,VP-0,0.01089372806434388
31,ATSp2,0.010297045104120212
374,ETA_Alpha,0.01026521243118478
30,ATSp1,0.01007532152615851
4,apol,0.009451088621851924
97,VP-4,0.008989748093512481
45,nBondsS2,0.008755715493485776
28,ATSm4,0.008747376710753036
493,VAdjMat,0.008366588331459172
80,SPC-5,0.008312667846667916
403,ETA_Eta,0.008062013184744553
405,ETA_Eta_R,0.008042054315331395
406,ETA_Eta_F,0.007473284830947603
418,fragC,0.007432312683385646
