,Features,Importance
38,BCUTc-1l,0.0426788192556212
220,SsOH,0.01894430306170567
315,maxHsOH,0.01816945917965634
453,MLFER_A,0.01671484811693177
286,minsOH,0.016264111378537772
249,minHsOH,0.016222938084483805
117,nHsOH,0.01559313041975957
352,maxsOH,0.014155640822318016
154,nsOH,0.01183328776533614
183,SHsOH,0.011495414882317452
40,BCUTp-1l,0.008696581841225574
304,maxHBa,0.008436991444419159
273,minaasC,0.008252031231673338
98,VP-5,0.008164203502359378
439,MDEC-23,0.007172316923957906
96,VP-3,0.006768463697455886
369,MAXDP,0.00651096546465019
302,maxHBd,0.0065079823305858805
364,gmax,0.0064445570136161855
269,minaaCH,0.006331861954816577
418,fragC,0.0063042714580351785
314,maxHBint10,0.005939025681484095
353,maxdO,0.005844954776550064
73,SC-5,0.005785094850914678
170,SHBd,0.0055871769886042385
365,hmin,0.005569610168490224
390,ETA_Shape_P,0.005503222069314682
403,ETA_Eta,0.0050253173812495
99,VP-6,0.0049702966106422415
45,nBondsS2,0.004956617668900401
