SMILES,CYP3A4,SP-4,VP-7,SP-3,VP-3,WTPT-1,ATSp3,SP-1,ETA_Eta_L,nBondsS,VP-2,SP-7,SP-2,VP-1,ETA_Beta_s,CrippenMR,VP-5,VP-0,ATSp2,ETA_Alpha,ATSp1
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCC3)c4ccc(OCCN5CCCCC5)cc4,1,9.754842379,2.173340752,11.55354392,8.417904282,64.77168028,4109.492845,15.25915283,9.9932,62,10.33615112,4.41467245,13.49777911,12.75563446,19.5,122.6,4.883285025,18.98734593,2930.668527,15.23332,2469.977567
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCCC3)c4ccc(OCCN5CCCCC5)cc4,1,10.10839577,2.469053035,12.05354392,8.917904282,68.96002385,4379.505354,16.25915283,10.9932,68,11.04325791,4.649380498,14.20488589,13.75563446,20.5,131.834,5.62065746,20.40155949,3157.289284,16.23332,2679.488262
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,1,10.08331536,1.79155687,12.21422752,7.611579886,68.74892346,4285.592752,16.15299968,8.69024,57,9.802668319,4.671123606,14.47319431,12.43945368,20.75,133.3328,4.424384134,19.33818321,3054.050592,16.06665,2576.569862
Oc1ccc2O[C@H]([C@@H](CC3CCCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,1,10.04153328,2.34911878,11.99518224,8.736554239,68.88369563,4193.549346,16.24231608,10.97636,68,11.1663564,4.458511852,14.28920555,13.7387977,20.5,131.834,5.497714211,20.40155949,3045.933534,16.23332,2596.316352
Oc1ccc2O[C@H]([C@@H](Cc3ccccc3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,1,10.04153328,1.85376347,11.99518224,7.700096189,68.88369563,4144.672227,16.24231608,8.99418,59,10.116341,4.458511852,14.28920555,12.77828983,20.5,130.788,4.538549088,19.67542666,3007.231045,16.23332,2561.845107
Oc1ccc2O[C@H]([C@H](Sc2c1)c3ccncc3)c4ccc(OCCN5CCCCC5)cc4,1,9.931619074,1.718583789,11.80354392,7.424595723,66.89029821,4131.343017,15.75915283,8.45567,55,9.491683025,4.566047165,13.8513325,12.15489439,20.5,123.054,4.296550182,18.83818321,2958.04954,15.63332,2498.429887
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccc(OCCN6CCCCC6)cc5C4,1,11.74302149,1.988800516,13.3901657,7.831550513,71.45320646,5197.250873,16.6041234,8.79214,60,9.993379605,6.13788062,15.4225325,12.42769495,21.25,135.9638,4.599986307,19.46470307,3422.45131,16.39999,2782.895513
Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,1,9.754842379,1.62007352,11.55354392,7.173704547,64.77168028,3914.329062,15.25915283,8.2638,54,9.226555673,4.41467245,13.49777911,11.78964788,20,119.954,4.072691101,18.22186763,2793.05,15.06665,2354.943234
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,1,9.189068112,1.577842953,10.25871734,5.647279766,52.66417885,4249.60944,12.15463366,5.32564,37,7.080810619,4.945421992,11.59297211,8.575528773,15,100.1778,3.431806819,13.73684398,2713.129919,12.16666,2163.075456
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,1,10.44841474,1.328610041,11.4519792,5.418813805,56.35144234,4657.763474,13.02974777,5.07469,33,6.830272192,5.300038389,12.33646076,8.569563501,16.5,102.0331,3.13042092,14.139127,2914.479297,12.83332,2290.727725
